question,answer
Microsofts total assets in 2023 amounted to what?,Microsofts total assets in 2023 was $411.98 billion.
Can you provide Microsofts total assets for 2023?,The companys total assets for 2023 stood at $411.98 billion.
How much did Microsoft report for total assets in 2023?,2023 saw Microsofts total assets reach $411.98 billion.
Can you provide Microsofts total assets for 2023?,"For 2023, Microsoft had $411.98 billion in total assets."
What were Microsofts total assets in 2023?,The companys total assets for 2023 stood at $411.98 billion.
What were Microsofts total assets in 2024?,2024 saw Microsofts total assets reach $512.46 billion.
"In 2024, what was Microsofts total assets?",Microsofts total assets in 2024 was $512.46 billion.
"In 2024, what was Microsofts total assets?","In 2024, Microsoft reported $512.46 billion in total assets."
How much did Microsoft report for total assets in 2024?,Microsofts total assets in 2024 was $512.46 billion.
Can you provide Microsofts total assets for 2024?,Microsofts total assets in 2024 was $512.46 billion.
How much did Microsoft report for total liabilities in 2023?,"For 2023, Microsoft had $198.32 billion in total liabilities."
Microsofts total liabilities in 2023 amounted to what?,Microsofts total liabilities in 2023 was $198.32 billion.
Microsofts total liabilities in 2023 amounted to what?,"For 2023, Microsoft had $198.32 billion in total liabilities."
How much did Microsoft report for total liabilities in 2023?,"For 2023, Microsoft had $198.32 billion in total liabilities."
"In 2023, what was Microsofts total liabilities?",The companys total liabilities for 2023 stood at $198.32 billion.
How much did Microsoft report for total liabilities in 2024?,"For 2024, Microsoft had $225.74 billion in total liabilities."
How much did Microsoft report for total liabilities in 2024?,"For 2024, Microsoft had $225.74 billion in total liabilities."
Can you provide Microsofts total liabilities for 2024?,"In 2024, Microsoft reported $225.74 billion in total liabilities."
How much did Microsoft report for total liabilities in 2024?,2024 saw Microsofts total liabilities reach $225.74 billion.
Can you provide Microsofts total liabilities for 2024?,The companys total liabilities for 2024 stood at $225.74 billion.
Microsofts stockholders’ equity in 2023 amounted to what?,"For 2023, Microsoft had $213.66 billion in stockholders’ equity."
Microsofts stockholders’ equity in 2023 amounted to what?,Microsofts stockholders’ equity in 2023 was $213.66 billion.
What were Microsofts stockholders’ equity in 2023?,Microsofts stockholders’ equity in 2023 was $213.66 billion.
Microsofts stockholders’ equity in 2023 amounted to what?,The companys stockholders’ equity for 2023 stood at $213.66 billion.
Can you provide Microsofts stockholders’ equity for 2023?,"For 2023, Microsoft had $213.66 billion in stockholders’ equity."
How much did Microsoft report for stockholders’ equity in 2024?,2024 saw Microsofts stockholders’ equity reach $286.72 billion.
"In 2024, what was Microsofts stockholders’ equity?","In 2024, Microsoft reported $286.72 billion in stockholders’ equity."
How much did Microsoft report for stockholders’ equity in 2024?,"In 2024, Microsoft reported $286.72 billion in stockholders’ equity."
Can you provide Microsofts stockholders’ equity for 2024?,2024 saw Microsofts stockholders’ equity reach $286.72 billion.
How much did Microsoft report for stockholders’ equity in 2024?,2024 saw Microsofts stockholders’ equity reach $286.72 billion.
Microsofts net income in 2023 amounted to what?,Microsofts net income in 2023 was $72.36 billion.
"In 2023, what was Microsofts net income?","For 2023, Microsoft had $72.36 billion in net income."
What were Microsofts net income in 2023?,Microsofts net income in 2023 was $72.36 billion.
Microsofts net income in 2023 amounted to what?,"For 2023, Microsoft had $72.36 billion in net income."
"In 2023, what was Microsofts net income?","For 2023, Microsoft had $72.36 billion in net income."
What were Microsofts net income in 2024?,Microsofts net income in 2024 was $88.84 billion.
How much did Microsoft report for net income in 2024?,"In 2024, Microsoft reported $88.84 billion in net income."
Can you provide Microsofts net income for 2024?,"For 2024, Microsoft had $88.84 billion in net income."
How much did Microsoft report for net income in 2024?,The companys net income for 2024 stood at $88.84 billion.
How much did Microsoft report for net income in 2024?,Microsofts net income in 2024 was $88.84 billion.
How much did Microsoft report for revenue in 2023?,"For 2023, Microsoft had $211.91 billion in revenue."
What were Microsofts revenue in 2023?,Microsofts revenue in 2023 was $211.91 billion.
"In 2023, what was Microsofts revenue?","For 2023, Microsoft had $211.91 billion in revenue."
"In 2023, what was Microsofts revenue?",The companys revenue for 2023 stood at $211.91 billion.
Microsofts revenue in 2023 amounted to what?,The companys revenue for 2023 stood at $211.91 billion.
How much did Microsoft report for revenue in 2024?,"For 2024, Microsoft had $245.87 billion in revenue."
What were Microsofts revenue in 2024?,2024 saw Microsofts revenue reach $245.87 billion.
"In 2024, what was Microsofts revenue?","For 2024, Microsoft had $245.87 billion in revenue."
"In 2024, what was Microsofts revenue?",2024 saw Microsofts revenue reach $245.87 billion.
Microsofts revenue in 2024 amounted to what?,Microsofts revenue in 2024 was $245.87 billion.
Can you provide Microsofts operating income for 2023?,Microsofts operating income in 2023 was $88.52 billion.
What were Microsofts operating income in 2023?,2023 saw Microsofts operating income reach $88.52 billion.
How much did Microsoft report for operating income in 2023?,The companys operating income for 2023 stood at $88.52 billion.
Can you provide Microsofts operating income for 2023?,Microsofts operating income in 2023 was $88.52 billion.
"In 2023, what was Microsofts operating income?",The companys operating income for 2023 stood at $88.52 billion.
Can you provide Microsofts operating income for 2024?,2024 saw Microsofts operating income reach $109.54 billion.
"In 2024, what was Microsofts operating income?",The companys operating income for 2024 stood at $109.54 billion.
Can you provide Microsofts operating income for 2024?,Microsofts operating income in 2024 was $109.54 billion.
"In 2024, what was Microsofts operating income?",2024 saw Microsofts operating income reach $109.54 billion.
"In 2024, what was Microsofts operating income?",Microsofts operating income in 2024 was $109.54 billion.
Microsofts operating cash flow in 2023 amounted to what?,2023 saw Microsofts operating cash flow reach $87.59 billion.
Can you provide Microsofts operating cash flow for 2023?,The companys operating cash flow for 2023 stood at $87.59 billion.
"In 2023, what was Microsofts operating cash flow?","In 2023, Microsoft reported $87.59 billion in operating cash flow."
How much did Microsoft report for operating cash flow in 2023?,"For 2023, Microsoft had $87.59 billion in operating cash flow."
How much did Microsoft report for operating cash flow in 2023?,"In 2023, Microsoft reported $87.59 billion in operating cash flow."
Microsofts operating cash flow in 2024 amounted to what?,2024 saw Microsofts operating cash flow reach $95.12 billion.
"In 2024, what was Microsofts operating cash flow?",2024 saw Microsofts operating cash flow reach $95.12 billion.
How much did Microsoft report for operating cash flow in 2024?,The companys operating cash flow for 2024 stood at $95.12 billion.
Can you provide Microsofts operating cash flow for 2024?,"For 2024, Microsoft had $95.12 billion in operating cash flow."
"In 2024, what was Microsofts operating cash flow?",The companys operating cash flow for 2024 stood at $95.12 billion.
"In 2023, what was Microsofts investing cash flow?","In 2023, Microsoft reported $-23.45 billion in investing cash flow."
Microsofts investing cash flow in 2023 amounted to what?,Microsofts investing cash flow in 2023 was $-23.45 billion.
Microsofts investing cash flow in 2023 amounted to what?,Microsofts investing cash flow in 2023 was $-23.45 billion.
How much did Microsoft report for investing cash flow in 2023?,"In 2023, Microsoft reported $-23.45 billion in investing cash flow."
Can you provide Microsofts investing cash flow for 2023?,The companys investing cash flow for 2023 stood at $-23.45 billion.
Can you provide Microsofts investing cash flow for 2024?,"In 2024, Microsoft reported $-30.28 billion in investing cash flow."
"In 2024, what was Microsofts investing cash flow?",Microsofts investing cash flow in 2024 was $-30.28 billion.
"In 2024, what was Microsofts investing cash flow?",2024 saw Microsofts investing cash flow reach $-30.28 billion.
What were Microsofts investing cash flow in 2024?,"In 2024, Microsoft reported $-30.28 billion in investing cash flow."
What were Microsofts investing cash flow in 2024?,Microsofts investing cash flow in 2024 was $-30.28 billion.
How much did Microsoft report for financing cash flow in 2023?,2023 saw Microsofts financing cash flow reach $-63.45 billion.
How much did Microsoft report for financing cash flow in 2023?,Microsofts financing cash flow in 2023 was $-63.45 billion.
Can you provide Microsofts financing cash flow for 2023?,"For 2023, Microsoft had $-63.45 billion in financing cash flow."
"In 2023, what was Microsofts financing cash flow?","For 2023, Microsoft had $-63.45 billion in financing cash flow."
Microsofts financing cash flow in 2023 amounted to what?,"In 2023, Microsoft reported $-63.45 billion in financing cash flow."
What were Microsofts financing cash flow in 2024?,2024 saw Microsofts financing cash flow reach $-60.72 billion.
"In 2024, what was Microsofts financing cash flow?",The companys financing cash flow for 2024 stood at $-60.72 billion.
How much did Microsoft report for financing cash flow in 2024?,"For 2024, Microsoft had $-60.72 billion in financing cash flow."
How much did Microsoft report for financing cash flow in 2024?,"For 2024, Microsoft had $-60.72 billion in financing cash flow."
How much did Microsoft report for financing cash flow in 2024?,Microsofts financing cash flow in 2024 was $-60.72 billion.
What were Microsofts dividends paid in 2023?,"In 2023, Microsoft reported $20.23 billion in dividends paid."
Can you provide Microsofts dividends paid for 2023?,"In 2023, Microsoft reported $20.23 billion in dividends paid."
Can you provide Microsofts dividends paid for 2023?,"In 2023, Microsoft reported $20.23 billion in dividends paid."
Can you provide Microsofts dividends paid for 2023?,"For 2023, Microsoft had $20.23 billion in dividends paid."
What were Microsofts dividends paid in 2023?,Microsofts dividends paid in 2023 was $20.23 billion.
Can you provide Microsofts dividends paid for 2024?,"In 2024, Microsoft reported $22.30 billion in dividends paid."
What were Microsofts dividends paid in 2024?,"In 2024, Microsoft reported $22.30 billion in dividends paid."
"In 2024, what was Microsofts dividends paid?",Microsofts dividends paid in 2024 was $22.30 billion.
Microsofts dividends paid in 2024 amounted to what?,"For 2024, Microsoft had $22.30 billion in dividends paid."
How much did Microsoft report for dividends paid in 2024?,Microsofts dividends paid in 2024 was $22.30 billion.
What was the company's revenue in 2023?,Microsoft generated $211.91 billion in revenue in 2023.
